What is a program vs a process? ; Program = passive file on disk | Process = active execution with state

What is a process? ; A program in execution with its own memory and state

What are the components of a process? ; Program counter, CPU registers, stack, heap, data section

What is process state? ; Current status of a process (new, ready, running, waiting, terminated)

What are the different process states? ; New, ready, running, waiting (blocked), terminated

What is a context switch? ; Switching CPU from one process to another by saving/restoring state

Why is context switching overhead? ; CPU does no useful work while switching states

What is a thread? ; Smallest unit of CPU execution within a process

What do threads share? ; Code, data, heap, open files

What do threads have individually? ; Stack, registers, program counter

Difference between process and thread ; Process = heavy, isolated memory | Thread = lightweight, shared memory

What are benefits of multithreading? ; Better responsiveness, resource sharing, faster execution

What is a PCB? ; Data structure storing all information about a process

What does a PCB contain? ; PID, state, program counter, registers, scheduling info, memory info

Why is PCB important? ; Enables context switching and process management

What is CPU scheduling? ; Selecting which process runs next on CPU

Why is CPU scheduling needed? ; To improve efficiency, fairness, and responsiveness

What is preemptive scheduling? ; OS can interrupt a running process

What is non-preemptive scheduling? ; Process runs until completion or blocking

What is turnaround time? ; Total time from submission to completion

What is waiting time? ; Time spent waiting in ready queue

What is response time? ; Time from request to first response

What is throughput? ; Number of processes completed per unit time

What is FCFS scheduling? ; First come first served execution

Advantages of FCFS ; Simple and easy to implement

Disadvantages of FCFS ; Long waiting times, convoy effect

What is SJF scheduling? ; Runs process with shortest execution time first

Advantages of SJF ; Minimum average waiting time

Disadvantages of SJF ; Hard to predict job length, possible starvation

What is Round Robin scheduling? ; Each process gets fixed time slice

Advantages of Round Robin ; Fair and good for time-sharing

Disadvantages of Round Robin ; High context switching overhead

What is Priority scheduling? ; CPU given to highest priority process

Problem with Priority scheduling ; Starvation of low-priority processes

What is aging? ; Gradually increasing priority to prevent starvation

What is a deadlock? ; Situation where processes wait indefinitely for resources

What are the four deadlock conditions? ; Mutual exclusion, hold and wait, no preemption, circular wait

What is deadlock prevention? ; Eliminating one of the four conditions

What is deadlock avoidance? ; Ensuring system stays in safe state

What is deadlock detection? ; Identifying deadlocks after they occur

What is deadlock recovery? ; Terminating processes or reclaiming resources

What is a safe state? ; System can allocate resources without causing deadlock

What is paging? ; Dividing memory into fixed-size pages

What is a page table? ; Maps logical addresses to physical addresses

What is a page fault? ; Accessing a page not currently in memory

What is segmentation? ; Dividing memory into logical segments

Difference between paging and segmentation ; Paging = fixed size, physical view | Segmentation = variable size, logical view

What is virtual memory? ; Using disk to extend RAM

Why is virtual memory useful? ; Allows large programs and better memory utilization

What is demand paging? ; Pages loaded only when needed

What is thrashing? ; Excessive paging causing performance drop

Causes of thrashing ; Too many processes or insufficient memory

How to prevent thrashing ; Reduce processes, increase memory, better algorithms

What is internal fragmentation? ; Wasted space inside allocated memory blocks

What is external fragmentation? ; Free memory scattered in small blocks

What is a file? ; Collection of related data stored on disk

What are file attributes? ; Name, size, type, permissions, location, timestamps

What are file operations? ; Create, read, write, delete, open, close

What is a directory? ; Structure that organizes files

What is disk scheduling? ; Order in which disk I/O requests are serviced

Why is disk scheduling important? ; Reduces seek time and improves performance

What is seek time? ; Time to move disk head to correct track

What is latency (rotational delay)? ; Time waiting for disk rotation

What is FCFS disk scheduling? ; Requests served in arrival order

What is SSTF disk scheduling? ; Shortest seek time first

Problem with SSTF ; Can cause starvation

What is SCAN scheduling? ; Disk arm moves in one direction servicing requests

What is C-SCAN scheduling? ; Circular SCAN with reset to beginning
