What is a process in an operating system?;A running program with its own address space, file descriptor table, and PCB.
What is a thread in an operating system?;A unit of execution within a process that shares the address space and open files, but has its own stack and TCB.
What is a PCB?;A Process Control Block, a kernel structure per process containing items such as PID, state, memory map, file descriptor table, and exit status.
What is a TCB?;A Thread Control Block, a per-thread structure containing registers, stack pointer, and scheduling information.
What is a context switch?;Saving the current thread's CPU state and loading another thread's state.
Why is a context switch expensive?;Because it may flush the TLB and cool the CPU caches.
What is a zombie process?;A terminated child whose parent has not called wait yet, so the kernel keeps its exit status.
What is an orphan process?;A running child whose parent has exited, so it is adopted by init, PID 1.
What is preemption?;The OS forcibly taking the CPU away from a running process or thread, usually via a timer interrupt.
What is starvation in scheduling?;A runnable process never gets CPU time because the scheduler keeps favoring others.
What is the convoy effect?;Short jobs wait behind a long job, a classic problem of FCFS scheduling.
What are the three ways the OS is activated?;Interrupts, exceptions, and system calls.
What is turnaround time?;Completion time minus arrival time.
What is waiting time?;Turnaround time minus burst time.
What is response time?;First run time minus arrival time.
What metric measures jobs completed per unit time?;Throughput.
What is CPU utilization?;One minus the idle fraction.
Which non-preemptive scheduler minimizes average turnaround time?;SJF.
Which preemptive scheduler minimizes average turnaround time?;SRTF.
Which scheduler tends to minimize response time at the cost of turnaround?;Round Robin.
What can user mode not do?;Execute privileged instructions or access all memory freely.
What can kernel mode do?;Access hardware fully and run OS code.
What is an interrupt?;An asynchronous hardware event such as a timer or I O signal that transfers control to the OS.
What is an exception?;A synchronous CPU fault such as a page fault, divide by zero, or general protection fault.
What is a system call?;An explicit trap from user mode into the kernel to request an OS service.
What often dominates cost in switching-heavy workloads?;Context switch overhead.
What does wait NULL do?;Waits for any child process.
What does waitpid pid do?;Waits for a specific child process.
What should every fork typically be matched by?;A wait call or a SIGCHLD handler, otherwise zombies can leak.
What is copy on write for fork?;Parent and child initially share read-only pages and a page is copied only when one side writes to it.
Why is naive fork wasteful?;Because it would copy the entire address space even when the child often calls exec immediately.
What happens first on a copy on write write access?;The CPU raises a protection fault exception.
What is the main benefit of copy on write when the child execs immediately?;Zero pages need to be copied.
In a many-to-one ULT model, what does the kernel see?;One thread per process.
What is a key disadvantage of many-to-one ULT?;A blocking system call can block the whole process.
Does many-to-one ULT allow true parallelism on multicore?;No.
Does one-to-one KLT allow true parallelism on multicore?;Yes.
What is the main tradeoff of one-to-one KLT?;Independent blocking and real parallelism, but thread management has system call overhead.
Is it true that single-core CPUs do not need separate TCBs for threads?;False.
Is switching to a different process faster than switching to a user-level thread in the same process?;No, process switches are slower because the address space changes and TLB and caches are affected.
How is the OS activated according to the 2022 final question?;By interrupts, exceptions, and system calls.
A user process accesses a virtual address not present in its address space. Is that an interrupt, exception, system call, or none?;Exception.
A periodic timer fires and activates the scheduler. Is that an interrupt, exception, system call, or none?;Interrupt.
A user process adds two CPU registers. Is that an interrupt, exception, system call, or none?;None.
A user process creates a new file with open. Is that an interrupt, exception, system call, or none?;System call.
A user program divides by zero using the Intel DIV instruction. Is that an interrupt, exception, system call, or none?;Exception.
A user process writes to an anonymous pipe with write. Is that an interrupt, exception, system call, or none?;System call.
A user process reads from a present virtual address on its heap. Is that an interrupt, exception, system call, or none?;None.
The network controller signals a newly arrived packet. Is that an interrupt, exception, system call, or none?;Interrupt.
A user process tries to write CR3 in user mode. Is that an interrupt, exception, system call, or none?;Exception.
A user process creates a new process with fork. Is that an interrupt, exception, system call, or none?;System call.
A user program performs an integer ADD instruction. Is that an interrupt, exception, system call, or none?;None.
What happens if a privileged CPU instruction is executed in user mode?;The CPU raises an exception, typically a general protection fault, and control transfers to the kernel.
Give two examples of privileged CPU instructions.;Examples include CLI or STI, IN or OUT, HLT, and loading control registers such as CR3.
What is cooperative multitasking?;The running process must yield explicitly or block before another process runs.
What is preemptive multitasking?;The OS uses a timer interrupt to forcibly context switch the running process.
Which style do real operating systems like Linux and Windows use?;Preemptive multitasking.
Which PCB versus TCB statement is true: open files are shared by all threads or private per thread?;Open files are shared by all threads and belong to the process PCB.
Which PCB versus TCB statement is true: CPU registers are shared by all threads or private per thread?;CPU registers are private per thread and belong in the TCB.
Which PCB versus TCB statement is true: process exit status is shared by all threads or private per thread?;The process exit status belongs to the process PCB.
Which PCB versus TCB statement is false: the code and the stack are both shared by all threads?;False, the code is shared but each thread has its own stack.
What does fork do?;It creates a new process that is an almost identical copy of the current process in a separate address space.
What value does fork return in the child?;Zero.
What value does fork return in the parent?;The child's PID.
In the test exam process tree, what becomes the parent of PID 20 after PID 10 exits?;PID 1, init.
In the test exam process tree, what is the parent of PID 23?;PID 20.
In the test exam process tree, what value does wait return in PID 20?;22.
In the test exam process tree, what is the state of PID 22 after wait reaps it?;N, meaning it is gone or reaped.
In the test exam process tree, what is the state of PID 23 running less?;R, running.
To run a child program while keeping the parent alive, what must you usually do?;Fork first and then call exec in the child.
Does exec return a new PID?;No, exec keeps the same PID.
When does exec return to the caller?;Only on error.
Does exec always close all open file descriptors?;No, only descriptors marked close on exec are closed.
In the 2024 retake code trace, does execvp of cp run perror on success?;No, perror runs only if execvp fails.
In the 2024 retake code trace, does the parent wait for the child?;No.
In the 2024 retake code trace, what PID does printf print in the parent?;The child PID.
In the 2022 RR example with quantum 1 and P1 3, P2 1, P3 2, P4 2, what is the average turnaround time?;5.75.
In the 2022 RR example with quantum 1 and P1 3, P2 1, P3 2, P4 2, what schedule runs from t0 to t7?;P1, P2, P3, P4, P1, P3, P4, P1.
In the 2022 non-preemptive SJF example with the same four processes, what is the average turnaround time?;4.25.
In the 2022 non-preemptive SJF example with the same four processes, what schedule runs from t0 to t7?;P2, P3, P3, P4, P4, P1, P1, P1.
In the 2024 FCFS example with arrivals P2 at 0, P4 at 1, P3 at 2, P1 at 3, what is the average turnaround time?;6.
In the 2024 FCFS example, what schedule runs from t0 to t9?;P2, P2, P2, P2, P2, P4, P4, P3, P1, P1.
In the 2024 SRTF example, what schedule runs from t0 to t9?;P2, P4, P3, P4, P1, P1, P2, P2, P2, P2.
In the 2024 SRTF example, what is the average turnaround time?;4.25.
In the test exam with P1 at 2 for 5, P2 at 1 for 4, P3 at 3 for 1, what is the preemptive SJF schedule from t1 to t10?;P2, P2, P3, P2, P2, P1, P1, P1, P1, P1.
In the same test exam, what is the RR schedule with quantum 1 from t1 to t10?;P2, P1, P2, P3, P1, P2, P1, P2, P1, P1.
In the 2024 retake RR example, what schedule runs from t0 to t9?;P2, P2, P1, P3, P4, P2, P1, P4, P2, P2.
In the 2024 retake RR example, what is the average turnaround time?;5.75.
Which scheduling algorithm is fair and avoids starvation but is not optimal for average turnaround?;Round Robin.
Which scheduling algorithm requires a priori knowledge of burst times to minimize average wait and turnaround?;SJF.
Which scheduling algorithm approximates SJF using feedback from past behavior?;MLFQ.
Which scheduling algorithm is simple but suffers from the convoy effect?;FCFS.
What is the goal of MLFQ?;Approximate SJF without knowing burst times in advance and give interactive jobs good response time.
In MLFQ, where does a new job start?;At the highest priority queue.
In MLFQ, what happens when a job uses up its allotment at a level?;It is demoted.
In MLFQ, what does the periodic priority boost do?;Moves jobs back to the top queue to prevent starvation and handle phase changes.
What is the page size formula from offset bits OB?;Two to the power of OB bytes.
What is the number of page table entries from VPN bits NB?;Two to the power of NB entries.
What is the page table size formula?;Number of entries times bytes per entry.
How do you compute effective access time with a TLB for a single-level page table?;EAT equals h times tT plus tM plus one minus h times tT plus 2 times tM.
How do you compute page fault EAT?;EAT equals one minus p times tM plus p times tF.
Why can a tiny page fault probability still dominate EAT?;Because page fault service time is much larger than normal memory access time.
What problem does the TLB solve?;It avoids the many memory accesses needed for page table walks on every reference.
What is a TLB?;A small hardware cache of recently used virtual page number to physical frame number translations.
What happens on a TLB hit?;The PFN is returned quickly and the access proceeds.
What happens on a TLB miss?;The hardware or OS walks the page table, installs the translation in the TLB, and retries.
What does ASID or PCID help avoid?;Full TLB flushes on context switch.
How do larger pages affect TLB coverage?;Each TLB entry covers more memory, so fewer entries are needed.
What is demand paging?;Pages are loaded into RAM only when first accessed.
What happens if a faulting virtual address is not legal for the process?;The OS delivers SIGSEGV and the process usually dies.
What happens if a needed page was evicted but is still a valid address?;The OS finds a frame, loads the page from disk, updates the PTE, and retries the instruction.
What is thrashing?;The system spends more time swapping pages than doing useful work.
What causes thrashing?;The combined working set of active processes exceeds RAM.
What is a working set?;The set of pages referenced in the last delta time units.
How can the OS mitigate thrashing?;Reduce load, use local or working-set-aware replacement, or add more RAM.
What is Belady's anomaly?;With FIFO, adding more frames can sometimes increase the number of page faults.
Which page replacement algorithms are stack algorithms that do not exhibit Belady's anomaly?;LRU and OPT.
What does the present or valid bit in a PTE mean?;Whether the page is resident in RAM.
Which PTE bit is used by CLOCK?;The accessed bit.
Which PTE bit shows whether a page must be written back on eviction?;The dirty bit.
What does the NX bit do?;Marks a page as non-executable.
Which replacement algorithm evicts the page used farthest in the future?;OPT.
Why is OPT not feasible in a real OS?;Because the OS does not know future page references.
Which replacement algorithm evicts the oldest loaded page?;FIFO.
Which replacement algorithm evicts the least recently used page?;LRU.
Which replacement algorithm uses a reference bit and a circular scan?;CLOCK or second chance.
Which replacement algorithm evicts a uniformly random page?;RANDOM.
What is external fragmentation?;Enough total free memory exists, but it is split into pieces too small to satisfy a request.
What is internal fragmentation?;Unused memory inside an allocated unit because the allocation granularity is larger than the request.
Does paging eliminate external fragmentation?;Yes, fixed-size pages eliminate external fragmentation.
What fragmentation does paging introduce?;Internal fragmentation.
How do huge pages trade off fragmentation and translation overhead?;They increase internal fragmentation but reduce TLB misses and shrink page tables.
What is first fit in a heap allocator?;Return the first free block large enough for the request.
What is next fit in a heap allocator?;Like first fit, but continue scanning from where the last search stopped.
What is best fit in a heap allocator?;Return the smallest free block that fits.
What is worst fit in a heap allocator?;Return the largest free block.
What is coalescing in a heap allocator?;Merging adjacent free blocks when memory is freed.
What is the buddy allocator?;An allocator using power-of-two block sizes with buddy blocks that can split and merge efficiently.
What is a main drawback of the buddy allocator?;It can waste a lot of space through internal fragmentation.
